index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
1.1,0.7923250564334086,0.7926718983322756,0.7923250564334086,0.864516129032258,0.8758169934640523,0.8701298701298701,0.777027027027027,0.6764705882352942,0.7232704402515723,0.7285714285714285,0.85,0.7846153846153846
1.2,0.7832957110609481,0.7842445571760729,0.7832957110609481,0.8675496688741722,0.8562091503267973,0.861842105263158,0.7407407407407407,0.7058823529411765,0.7228915662650603,0.7384615384615385,0.8,0.768
1.3,0.7900677200902935,0.790114794157495,0.7900677200902935,0.8733333333333333,0.8562091503267973,0.8646864686468646,0.7455621301775148,0.7411764705882353,0.7433628318584071,0.75,0.775,0.7622950819672132
1.4,0.7900677200902935,0.7899456850641492,0.7900677200902935,0.8758169934640523,0.8758169934640523,0.8758169934640523,0.7662337662337663,0.6941176470588235,0.7283950617283951,0.7205882352941176,0.8166666666666667,0.7656250000000001
1.5,0.7990970654627539,0.7989037972960711,0.7990970654627539,0.8717948717948718,0.8888888888888888,0.8802588996763754,0.7814569536423841,0.6941176470588235,0.735202492211838,0.7352941176470589,0.8333333333333334,0.78125
1.6,0.7900677200902935,0.7891154546427795,0.7900677200902935,0.85625,0.8954248366013072,0.875399361022364,0.7808219178082192,0.6705882352941176,0.7215189873417721,0.7226277372262774,0.825,0.7704280155642024
1.7,0.8103837471783296,0.8099026501953331,0.8103837471783296,0.8838709677419355,0.8954248366013072,0.8896103896103896,0.7848101265822784,0.7294117647058823,0.7560975609756098,0.7538461538461538,0.8166666666666667,0.784
1.8,0.7968397291196389,0.7963072537218879,0.7968397291196389,0.8774193548387097,0.8888888888888888,0.8831168831168831,0.7658227848101266,0.711764705882353,0.7378048780487805,0.7384615384615385,0.8,0.768
1.9,0.7878103837471784,0.7877426557868703,0.7878103837471785,0.8926174496644296,0.869281045751634,0.8807947019867549,0.7697368421052632,0.6882352941176471,0.7267080745341615,0.6971830985915493,0.825,0.7557251908396947
1.10,0.7878103837471784,0.7889675195064415,0.7878103837471785,0.8904109589041096,0.8496732026143791,0.8695652173913042,0.7439024390243902,0.7176470588235294,0.7305389221556886,0.7293233082706767,0.8083333333333333,0.766798418972332
1.11,0.7855530474040632,0.7853658312316099,0.7855530474040632,0.875,0.869281045751634,0.8721311475409835,0.7612903225806451,0.6941176470588235,0.726153846153846,0.7132352941176471,0.8083333333333333,0.7578125
1.12,0.781038374717833,0.7812859833198816,0.781038374717833,0.8843537414965986,0.8496732026143791,0.8666666666666667,0.7111111111111111,0.7529411764705882,0.7314285714285714,0.7586206896551724,0.7333333333333333,0.7457627118644068
1.13,0.7923250564334086,0.7919345560906859,0.7923250564334086,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7748344370860927,0.6882352941176471,0.7289719626168225,0.7122302158273381,0.825,0.7644787644787645
2.1,0.7990970654627539,0.7993071168958964,0.7990970654627539,0.8701298701298701,0.8758169934640523,0.8729641693811074,0.7575757575757576,0.7352941176470589,0.746268656716418,0.7661290322580645,0.7916666666666666,0.7786885245901639
2.2,0.7945823927765236,0.7950228291265953,0.7945823927765236,0.8807947019867549,0.869281045751634,0.8750000000000001,0.7577639751552795,0.7176470588235294,0.7371601208459214,0.7404580152671756,0.8083333333333333,0.7729083665338645
2.3,0.7945823927765236,0.7957452020505693,0.7945823927765236,0.8666666666666667,0.8496732026143791,0.858085808580858,0.7777777777777778,0.7,0.7368421052631577,0.7357142857142858,0.8583333333333333,0.7923076923076923
2.4,0.8103837471783296,0.8099189511801229,0.8103837471783296,0.9006622516556292,0.8888888888888888,0.894736842105263,0.8108108108108109,0.7058823529411765,0.7547169811320755,0.7152777777777778,0.8583333333333333,0.7803030303030303
2.5,0.801354401805869,0.8009868519979434,0.8013544018058689,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7485380116959064,0.7529411764705882,0.750733137829912,0.773109243697479,0.7666666666666667,0.7698744769874478
2.6,0.7765237020316027,0.7772229210512135,0.7765237020316028,0.8666666666666667,0.8496732026143791,0.858085808580858,0.7317073170731707,0.7058823529411765,0.718562874251497,0.7286821705426356,0.7833333333333333,0.7550200803212851
2.7,0.8036117381489842,0.8034111254201086,0.8036117381489842,0.8662420382165605,0.8888888888888888,0.8774193548387097,0.8013698630136986,0.6882352941176471,0.740506329113924,0.7357142857142858,0.8583333333333333,0.7923076923076923
2.8,0.7832957110609481,0.7824136866490824,0.7832957110609481,0.8766233766233766,0.8823529411764706,0.8794788273615635,0.7209302325581395,0.7294117647058823,0.7251461988304093,0.7521367521367521,0.7333333333333333,0.7426160337552742
2.9,0.7878103837471784,0.7876578645235363,0.7878103837471785,0.8874172185430463,0.8758169934640523,0.881578947368421,0.7393939393939394,0.7176470588235294,0.7283582089552239,0.7322834645669292,0.775,0.7530364372469637
2.10,0.801354401805869,0.8027707722465752,0.8013544018058689,0.8851351351351351,0.8562091503267973,0.8704318936877076,0.7514792899408284,0.7470588235294118,0.7492625368731564,0.7698412698412699,0.8083333333333333,0.7886178861788617
2.11,0.7855530474040632,0.7859694989106755,0.7855530474040632,0.869281045751634,0.869281045751634,0.869281045751634,0.7548387096774194,0.6882352941176471,0.72,0.725925925925926,0.8166666666666667,0.7686274509803921
2.12,0.7990970654627539,0.7996196060205212,0.7990970654627539,0.8979591836734694,0.8627450980392157,0.8799999999999999,0.7544910179640718,0.7411764705882353,0.7477744807121662,0.7441860465116279,0.8,0.7710843373493975
2.13,0.7923250564334086,0.792785153209351,0.7923250564334086,0.891156462585034,0.8562091503267973,0.8733333333333333,0.7288135593220338,0.7588235294117647,0.7435158501440922,0.7647058823529411,0.7583333333333333,0.7615062761506276
3.1,0.8148984198645598,0.814912741876892,0.8148984198645598,0.9154929577464789,0.8496732026143791,0.8813559322033898,0.7540983606557377,0.8117647058823529,0.7818696883852692,0.788135593220339,0.775,0.7815126050420169
3.2,0.8306997742663657,0.8295649494900358,0.8306997742663657,0.9013157894736842,0.8954248366013072,0.898360655737705,0.8023952095808383,0.788235294117647,0.7952522255192878,0.782258064516129,0.8083333333333333,0.7950819672131147
3.3,0.8148984198645598,0.8149794370914613,0.8148984198645598,0.881578947368421,0.8758169934640523,0.878688524590164,0.7751479289940828,0.7705882352941177,0.7728613569321534,0.7868852459016393,0.8,0.7933884297520661
3.4,0.7968397291196389,0.7976913436140604,0.7968397291196389,0.896551724137931,0.8496732026143791,0.87248322147651,0.7318435754189944,0.7705882352941177,0.7507163323782234,0.773109243697479,0.7666666666666667,0.7698744769874478
3.5,0.8261851015801355,0.8270818565185275,0.8261851015801355,0.8993288590604027,0.8758169934640523,0.8874172185430463,0.7823529411764706,0.7823529411764706,0.7823529411764706,0.7983870967741935,0.825,0.8114754098360655
3.6,0.8126410835214447,0.8127835929693514,0.8126410835214447,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7616279069767442,0.7705882352941177,0.7660818713450294,0.7966101694915254,0.7833333333333333,0.7899159663865546
3.7,0.8036117381489842,0.8025683652174326,0.8036117381489842,0.8874172185430463,0.8758169934640523,0.881578947368421,0.7430167597765364,0.7823529411764706,0.7621776504297993,0.7876106194690266,0.7416666666666667,0.7639484978540773
3.8,0.801354401805869,0.799423913709628,0.8013544018058689,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.715,0.8411764705882353,0.772972972972973,0.8137254901960784,0.6916666666666667,0.7477477477477478
3.9,0.8081264108352144,0.8086330535801993,0.8081264108352144,0.891156462585034,0.8562091503267973,0.8733333333333333,0.7586206896551724,0.7764705882352941,0.7674418604651162,0.7786885245901639,0.7916666666666666,0.7851239669421487
